"complaint_text","priority"
"payment gateway still not working","Low"
"backup system not working causing system crash","Low"
"network not working properly","Medium"
"admin panel not working since yesterday","Low"
"virtual machines not working as expected","Medium"
"user portal not working as expected","High"
"cloud infrastructure not working for international users","Medium"
"application not working intermittently","Medium"
"containers not working on desktop","High"
"payment gateway not working for admin users","Low"
"mail server not working for API consumers","High"
"cloud infrastructure completely not working","High"
"containers not working properly","Medium"
"web service still not working","Medium"
"database not working intermittently","Medium"
"virtual machines not working for enterprise clients","High"
"containers not working intermittently","High"
"CDN not working as expected","Low"
"network not working causing system crash","Low"
"virtual machines not working as expected","Medium"
"server not working for admin users","Medium"
"mail server still not working","High"
"backup system completely not working","Low"
"load balancer not working for international users","Medium"
"file storage not working intermittently","Medium"
"user portal still not working","Medium"
"microservices still not working","Medium"
"database not working on Windows","Low"
"cloud infrastructure not working on desktop","High"
"API not working after update","Medium"
"containers not working after update","Medium"
"database not working causing downtime","Medium"
"API not working causing downtime","Low"
"containers not working properly","Medium"
"cloud infrastructure not working after update","High"
"admin panel not working since last night","Medium"
"admin panel not working properly","Low"
"mail server not working properly","Low"
"database not working properly","Medium"
"server not working causing data corruption","Low"
"backup system not working as expected","Medium"
"admin panel not working on Android","High"
"server not working since several hours","Medium"
"web service not working as expected","Low"
"backup system not working causing data corruption","Medium"
"API completely not working","Medium"
"microservices not working as expected","High"
"load balancer still not working","High"
"file storage not working properly","Medium"
"microservices not working properly","Medium"
"user portal not working for third-party integrations","Low"
"authentication system not working properly","High"
"cloud infrastructure not working for premium users","Medium"
"mail server not working causing performance degradation","Low"
"virtual machines not working causing service disruption","Low"
